id;nom_medicament;nom_commercial;categorie;principe_actif;forme_pharmaceutique;dosage;indications;posologie;contre_indications;effets_secondaires;precautions_emploi;interactions_medicamenteuses;conservation;fabricant;pays_fabrication;prescription_requise;prix_estime;date_expiration;numero_lot;code_barres;langue_notice;url_notice_pdf;date_creation
11;Efferalgan;Efferalgan 500mg;Analgésique;Paracétamol;Comprimé effervescent;500mg;Douleurs et fièvre;1-2 comprimés par prise max 4g/jour;Insuffisance hépatique;Réactions allergiques rares;Diluer dans un verre d'eau;Risque hépatique avec alcool;Conserver au sec;UPSA;France;False;4.20;2026-08-10;LOT111222;3400998877665;Français;https://notice.medicaments.fr/efferalgan_11.pdf;2024-02-05 09:30:00
12;Imodium;Imodium 2mg;Antidiarrhéique;Lopéramide;Gélule;2mg;Diarrhée aiguë;2 gélules puis 1 après chaque selle;Douleur abdominale fébrile;Constipation ballonnement;Ne pas dépasser 48h;Interaction avec certains antibiotiques;Conserver à température ambiante;Janssen;Belgique;False;5.90;2025-12-05;LOT333444;3400887766554;Français/Anglais;https://notice.medicaments.fr/imodium_12.pdf;2024-03-12 11:00:00
13;Maalox;Maalox;Anti-ulcéreux;Alginate de sodium;Suspension buvable;250mg/5ml;Brûlures d'estomac reflux;10-20 ml après repas et coucher;Allergie aux alginates;Constipation légère;Espace 2h des autres médicaments;Diminution absorption autres médicaments;Conserver au réfrigérateur;Sanofi;France;False;4.75;2026-02-28;LOT555666;3400776655443;Français;https://notice.medicaments.fr/maalox_13.pdf;2024-01-18 14:20:00
14;Gaviscon;Gaviscon Menthe;Anti-reflux;Alginate+sodium;Suspension buvable;500mg/10ml;Reflux gastro-œsophagien;10-20 ml après repas;Insuffisance rénale sévère;Ballonnement nausées;Bien agiter avant emploi;Interaction avec anticoagulants;Conserver température ambiante;Reckitt;Royaume-Uni;False;6.50;2026-07-15;LOT777888;3400665544332;Français;https://notice.medicaments.fr/gaviscon_14.pdf;2024-02-22 15:45:00
15;Toplexil;Toplexil Sirop;Antihistaminique;Oxomémazine;Sirop;0.5mg/ml;Toux allergique;1 cuillère à soupe matin et soir;Insuffisance respiratoire;Somnolence sécheresse buccale;Éviter conduite de véhicules;Interaction avec alcool et somnifères;Conserver au réfrigérateur;Biogaran;France;False;4.30;2025-11-20;LOT999000;3400554433221;Français;https://notice.medicaments.fr/toplexil_15.pdf;2024-03-20 08:30:00
16;Claritin;Claritin 10mg;Antihistaminique;Loratadine;Comprimé;10mg;Rhinite allergique urticaire;1 comprimé par jour;Allergie à la loratadine;Maux de tête fatigue;Peut être pris avec nourriture;Peu d'interactions connues;Conserver à l'abri de l'humidité;Bayer;Allemagne;False;5.60;2026-01-10;LOT112233;3400443322110;Français;https://notice.medicaments.fr/claritin_16.pdf;2024-01-30 10:15:00
17;Zyrtec;Zyrtecset 10mg;Antihistaminique;Cétirizine;Comprimé pelliculé;10mg;Allergies saisonnières et perannuelles;1 comprimé par jour;Insuffisance rénale sévère;Somnolence légère fatigue;Prudence chez sujet âgé;Interaction avec sédatifs;Conserver à température ambiante;UCB;Belgique;False;6.20;2026-03-15;LOT334455;3400332211009;Français;https://notice.medicaments.fr/zyrtec_17.pdf;2024-02-10 13:40:00
18;Dafalgan;Dafalgan 1g;Analgésique;Paracétamol;Comprimé;1000mg;Douleurs intenses et fièvre;1 comprimé max 3 par jour;Insuffisance hépatique grave;Éruption cutanée rare;Respecter 6 heures d'intervalle;Risque toxicité avec phénobarbital;Conserver hors de portée;UPSA;France;False;3.90;2026-09-05;LOT556677;3400221100988;Français;https://notice.medicaments.fr/dafalgan_18.pdf;2024-03-25 09:00:00
19;Ketoprofène;Kétoprofène 50mg;Anti-inflammatoire;Kétoprofène;Gélule;50mg;Rhumatismes douleurs articulaires;1 gélule 3 fois par jour;Ulcère gastrique actif;Maux d'estomac diarrhée;Prendre avec nourriture;Interaction avec diurétiques;Conserver à l'abri de la lumière;Mylan;France;True;4.85;2025-12-18;LOT778899;3400110099877;Français;https://notice.medicaments.fr/ketoprofene_19.pdf;2024-01-12 16:30:00
20;Voltarène;Voltarène 1%;Anti-inflammatoire topique;Diclofénac;Pommade;1%;Douleurs musculaires et articulaires;Appliquer 2-3 fois par jour;Plaie ouverte infection cutanée;Rougeur locale démangeaison;Ne pas appliquer sous pansement occlusif;Interaction avec autres AINS topiques;Conserver à température ambiante;Novartis;Suisse;False;7.40;2026-06-30;LOT990011;3400009988766;Français;https://notice.medicaments.fr/voltarène_20.pdf;2024-02-18 11:15:00
21;Fervex;Fervex Rhume;Antiviral;Paracétamol+Vitamine C;Poudre;500mg+200mg;Traitement du rhume et de la fièvre;1 sachet 3 fois par jour;Insuffisance hépatique;Somnolence légère;Diluer dans un grand verre d'eau;Éviter alcool et sédatifs;Conserver au sec;UPSA;France;False;5.30;2025-10-10;LOT123456;3400999999999;Français;https://notice.medicaments.fr/fervex_21.pdf;2024-03-05 12:00:00
22;Humex;Humex Rhume;Décongestionnant;Paracétamol+Chlorphéniramine;Gélule;500mg+4mg;Traitement du rhume;1 gélule 3 fois par jour;Hypertension artérielle sévère;Somnolence sécheresse;Ne pas conduire;Interaction avec IMAO;Conserver température ambiante;Sanofi;France;False;6.80;2026-02-20;LOT234567;3400888888888;Français;https://notice.medicaments.fr/humex_22.pdf;2024-01-20 14:30:00
23;Ostérix;Ostérix;Calcium;Vitamine D3+Calcium;Comprimé à croquer;500mg+400UI;Prévention de l'ostéoporose;1 comprimé 2 fois par jour;Hypercalcémie lithiase rénale;Constipation nausées;Prendre avec un verre d'eau;Interaction avec certains diurétiques;Conserver à température ambiante;Bayer;Allemagne;False;7.90;2026-04-15;LOT345678;3400777777777;Français;https://notice.medicaments.fr/osterix_23.pdf;2024-02-25 09:45:00
24;Magné B6;Magné B6;Complément vitaminique;Magnésium+Vitamine B6;Comprimé effervescent;300mg+10mg;Carence en magnésium,Fatigue;1 comprimé par jour;Insuffisance rénale sévère;Diarrhée douleurs abdominales;Diluer dans un verre d'eau;Risque d'hypermagnésémie avec laxatifs;Conserver au sec;Sanofi;France;False;6.20;2026-03-10;LOT456789;3400666666666;Français;https://notice.medicaments.fr/magneb6_24.pdf;2024-03-15 11:30:00
25;Biafine;Biafine;Pansement cicatrisant;Acide hyaluronique;Crème;5%;Brûlures superficielles;Appliquer épaisseur 1-2mm;Allergie aux conservateurs;Rougeur légère locale;Ne pas appliquer sur plaie profonde;Aucune interaction connue;Conserver hors de portée;Laboratoire Medix;France;False;8.50;2025-12-01;LOT567890;3400555555555;Français;https://notice.medicaments.fr/biafine_25.pdf;2024-01-08 13:20:00
26;Cicalfate;Cicalfate;Cicatrisant;Sulfate de zinc;Crème;1%;Lésions cutanées irritatives;Appliquer 1-2 fois par jour;Infection bactérienne active;Rare réaction locale;Ne pas utiliser sur brûlure grave;Aucune interaction;Conserver à température ambiante;Avène;France;False;9.80;2026-07-25;LOT678901;3400444444444;Français;https://notice.medicaments.fr/cicalfate_26.pdf;2024-02-28 10:00:00
27;Kardegic;Kardegic 75mg;Anticoagulant;Aspirine;Comprimé;75mg;Prévention infarctus AVC;1 comprimé par jour;Ulcère gastrique hémorragie;Risque hémorragique bruissements;Prendre avec nourriture;Interaction avecANTICOAGULANTS;Conserver à l'abri de l'humidité;Sanofi;France;True;4.20;2025-11-15;LOT789012;3400333333333;Français;https://notice.medicaments.fr/kardegic_27.pdf;2024-03-10 16:15:00
28;Plavix;Plavix 75mg;Anticoagulant;Clopidogrel;Comprimé;75mg;Prévention AVC IDM;1 comprimé par jour;Insuffisance hépatique sévère;Hémorragie,diarrhée;Surveillance hémostase;Interaction avec AINS;Conserver à température ambiante;Sanofi;France;True;18.50;2026-01-20;LOT890123;3400222222222;Français;https://notice.medicaments.fr/plavix_28.pdf;2024-01-25 09:00:00
29;Xarelto;Xarelto 15mg;Anticoagulant;Rivaroxaban;Comprimé;15mg;Prévention AVC dans FA;1 comprimé par jour avec repas;Insuffisance rénale grave;Risque hémorragique;Surveillance fonction rénale;Interaction avec antifongiques;Conserver température ambiante;Bayer;Allemagne;True;52.00;2026-02-28;LOT901234;3400111111111;Français/Anglais;https://notice.medicaments.fr/xarelto_29.pdf;2024-02-15 14:45:00
30;Lovenox;Lovenox 40mg;Anticoagulant;Énoxaparine;Injection;40mg;Prévention thrombose veineuse;1 injection/jour en sous-cutané;Hémorragie active allergie;Ecchymoses hématome;Surveillance signes hémorragie;Interaction avec antiagrégants;Conserver au réfrigérateur;Sanofi;France;True;23.40;2025-10-30;LOT123098;3400999888777;Français;https://notice.medicaments.fr/lovenox_30.pdf;2024-03-20 11:15:00
31;Euthyral;Euthyral;Hormone thyroïdienne;Lévothyroxine+Liothyronine;Comprimé;100mg+20mg;Hypothyroïdie;1 comprimé par jour;Hyperthyroïdie non traitée;Palpitations tremblements;Surveillance TSH;Interaction avec antiépileptiques;Conserver abri lumière;Merck;France;True;9.30;2025-12-05;LOT234109;3400888777666;Français;https://notice.medicaments.fr/euthyral_31.pdf;2024-01-18 10:30:00
32;Amarel;Amarel 2mg;Antidiabétique;Glimepiride;Comprimé;2mg;Diabète de type 2;1 comprimé par jour avant repas;Insuffisance hépatique sévère;Hypoglycémie nausées;Surveillance glycémie;Interaction avec aspirine;Conserver température ambiante;Sanofi;France;True;5.80;2026-06-15;LOT345210;3400777666555;Français;https://notice.medicaments.fr/amarel_32.pdf;2024-02-22 15:30:00
33;Tritace;Tritace 2.5mg;Antihypertenseur;Ramipril;Gélule;2.5mg;Hypertension artérielle;1 gélule par jour;Antécédent d'œdème de Quincke;Toux sèche fatigue;Surveillance tension artérielle;Interaction avec diurétiques;Conserver hors de portée;Sanofi;France;True;7.20;2025-09-20;LOT456321;3400666555444;Français;https://notice.medicaments.fr/tritace_33.pdf;2024-03-05 08:45:00
34;Coversyl;Coversyl 5mg;Antihypertenseur;Périndopril;Comprimé;5mg;Hypertension;1 comprimé par jour matin;Insuffisance rénale sévère;Toux fatigue vertiges;Surveillance kaliémie;Interaction avec anti-inflammatoires;Conserver température ambiante;Servier;France;True;8.90;2026-04-10;LOT567432;3400555444333;Français;https://notice.medicaments.fr/coversyl_34.pdf;2024-01-10 12:20:00
35;Norvasc;Norvasc 5mg;Antihypertenseur;Amlodipine;Comprimé;5mg;Hypertension angor;1 comprimé par jour;Sténose aortique sévère;Œdèmes des jambes céphalées;Surveillance tension;Interaction avec antifongiques;Conserver température ambiante;Pfizer;Belgique;True;10.50;2026-03-25;LOT678543;3400444333222;Français;https://notice.medicaments.fr/norvasc_35.pdf;2024-02-28 14:00:00
36;Amiodarone;Amiodarone 200mg;Antiarythmique;Amiodarone;Comprimé;200mg;Troubles du rythme cardiaque;1 comprimé 3 fois par jour puis réduction;Hyperthyroïdie bradycardie;Troubles digestifs photosensibilité;Surveillance fonction thyroïdienne;Interaction avec anticoagulants;Conserver abri lumière;Mylan;France;True;11.80;2025-11-15;LOT789654;3400333222111;Français;https://notice.medicaments.fr/amiodarone_36.pdf;2024-03-15 16:30:00
37;Cordarone;Cordarone 200mg;Antiarythmique;Amiodarone;Comprimé sécable;200mg;Troubles du rythme ventriculaire;1 comprimé par jour;Pathologie thyroïdienne non contrôlée;Coloration cutanée gris-bleue;Surveillance pulmonaire;Interaction avec bêtabloquants;Conserver température ambiante;Sanofi;France;True;14.30;2026-01-05;LOT890765;3400222111000;Français;https://notice.medicaments.fr/cordarone_37.pdf;2024-01-25 09:15:00
38;Lasilix;Lasilix 40mg;Diurétique;Furosémide;Comprimé;40mg;Œdèmes HTA;1 comprimé le matin;Insuffisance rénale anurique;Déshydratation hypokaliémie;Surveillance ionogramme;Interaction avec corticoïdes;Conserver hors de portée;Sanofi;France;True;3.90;2026-07-20;LOT901876;3400111000999;Français;https://notice.medicaments.fr/lasilix_38.pdf;2024-02-10 13:30:00
39;Aldactone;Aldactone 50mg;Diurétique;Spironolactone;Comprimé;50mg;Œdèmes HTA ascite cirrhose;1 à 2 comprimés par jour;Insuffisance rénale hyperkaliémie;Gynécomastie troubles digestifs;Surveillance kaliémie;Interaction avec IEC;Conserver température ambiante;Pfizer;France;True;8.40;2025-12-12;LOT123987;3400999000111;Français;https://notice.medicaments.fr/aldactone_39.pdf;2024-03-18 10:45:00
40;Eductyl;Eductyl;Laxatif;Sorbitol;Solution buvable;25%;Constipation;15-30 ml le soir;Subocclusion intestinale;Ballonnement flatulences;Diluer dans un verre d'eau;Interaction avec diurétiques;Conserver température ambiante;Biogaran;France;False;3.20;2026-02-15;LOT234098;3400888000222;Français;https://notice.medicaments.fr/eductyl_40.pdf;2024-01-12 15:20:00
41;Forlax;Forlax;Laxatif;Macrogol;Poudre;10g;Constipation opiniâtre;1 sachet par jour;Perforation intestinale;Diarrhée potentielle;Diluer dans 500ml eau;Interaction potentielle avec médicaments;Conserver au sec;Ipsen;France;False;5.60;2026-05-30;LOT345109;3400777000333;Français;https://notice.medicaments.fr/forlax_41.pdf;2024-02-20 11:10:00
42;Duphalac;Duphalac;Laxatif;Lactulose;Sirop;10g/15ml;Constipation;15-30 ml le soir;Subocclusion intestinale;Ballonnement flatulences;Peut être dilué;Interaction avec néomycine;Conserver température ambiante;Mylan;France;False;4.30;2026-08-15;LOT456210;3400666000444;Français;https://notice.medicaments.fr/duphalac_42.pdf;2024-03-25 14:30:00
43;Euphytose;Euphytose;Phytothérapie;Plantes (aubépine,passiflore);Comprimé enrobé;N/A;Troubles nerveux stress;2 comprimés 3 fois par jour;Allergie aux plantes;Rarement somnolence;Sans sucre sans alcool;Potentialisation avec sédatifs;Conserver hors de portée;Bayer;France;False;4.80;2026-04-20;LOT567321;3400555000555;Français;https://notice.medicaments.fr/euphytose_43.pdf;2024-01-05 09:45:00
44;Sedatif PC;Sédatif PC;Sédatif;Valériane+Aubépine;Comprimé pelliculé;N/A;Sédation pour stress;1 comprimé matin et soir;Allergie aux plantes;Légère somnolence;Prudence chez conducteurs;Interaction avec somnifères;Conserver température ambiante;Boiron;France;False;5.90;2025-11-25;LOT678432;3400444000666;Français;https://notice.medicaments.fr/sedatifpc_44.pdf;2024-02-28 16:00:00
45;Donormyl;Donormyl 15mg;Hypnotique;Doxylamine;Comprimé pelliculé;15mg;Insomnie d'endormissement;1 comprimé 15 min avant coucher;Fermeture angle glaucome;Somnolence matinale sécheresse;Éviter alcool;Interaction avec atropiniques;Conserver température ambiante;Mylan;France;False;3.70;2026-09-10;LOT789543;3400333000777;Français;https://notice.medicaments.fr/donormyl_45.pdf;2024-03-10 12:15:00
46;Pulmicort;Pulmicort 200;Anti-asthmatique;Budésonide;Inhalateur;200µg/dose;Asthme chronique;1 inhalation 2 fois par jours;Infection ORL non traitée;Candidose buccale irritabilité;Rincer bouche après usage;Interaction avec kétoconazole;Conserver température ambiante;AstraZeneca;Royaume-Uni;True;24.50;2026-03-01;LOT890654;3400222000888;Français/Anglais;https://notice.medicaments.fr/pulmicort_46.pdf;2024-01-15 13:45:00
47;Atarax;Atarax 25mg;Antihistaminique;Hydroxyzine;Comprimé sécable;25mg;Anxiété urticaire prurit;1 comprimé 2 fois par jour;Allergie à hydroxyzine;Somnolence vision trouble;Prudence alcool;Interaction avec IMAO;Conserver hors de portée;UCB;Belgique;True;5.80;2026-06-20;LOT901765;3400111000999;Français;https://notice.medicaments.fr/atarax_47.pdf;2024-02-22 10:30:00
48;Lysopaïne;Lysopaïne;Anti-inflammatoire buccal;Lysozyme+Vitamine B6;Pastille;N/A;Maux gorge;1 pastille 4 fois par jour;Allergie aux constituants;Rare intolérance digestive;Sans gluten;Aucune interaction;Conserver température ambiante;Bouchara-Recordati;France;False;4.20;2026-07-15;LOT234987;3400999222333;Français;https://notice.medicaments.fr/lysopaine_48.pdf;2024-03-05 09:15:00
49;Hexaspray;Hexaspray;Antiseptique gorge;Biclotymol;Spray;N/A;Maux gorge;2 pulvérisations 4 fois/jour;Allergie au principe actif;Rare brûlure locale;Ne pas utiliser chez enfant -6 ans;Aucune interaction;Conserver hors de portée;Biogaran;France;False;5.30;2025-12-08;LOT345098;3400888111444;Français;https://notice.medicaments.fr/hexaspray_49.pdf;2024-01-20 11:45:00
50;Lantus;Lantus 100UI/ml;Antidiabétique;Insuline glargine;Solution injectable;100UI/ml;Diabète type 1 et 2;Adaptation selon glycémie;Hypoglycémie Hypersensibilité;Hypoglycémie lipodystrophie;Rotations points injection;Interaction médicamenteuse possible;Conserver au réfrigérateur;Sanofi;France;True;28.40;2026-01-28;LOT456109;3400777222555;Français;https://notice.medicaments.fr/lantus_50.pdf;2024-02-18 14:20:00
51;Novorapid;Novorapid;Antidiabétique;Insuline aspart;Solution injectable;100UI/ml;Diabète;Adaptation selon glycémie;Hypoglycémie;Hypoglycémie;Injection avant repas;Interaction avec bêtabloquants;Conserver réfrigérateur;Novo Nordisk;Danemark;True;27.90;2025-10-15;LOT567210;3400666333666;Français;https://notice.medicaments.fr/novorapid_51.pdf;2024-03-12 08:30:00
52;Diamicron;Diamicron 30mg;Antidiabétique;Gliclazide;Comprimé;30mg;Diabète type 2;1 comprimé par jour;Insuffisance hépatique;Hypoglycémie;Surveillance glycémie;Interaction avec sulfamides;Conserver température ambiante;Servier;France;True;6.70;2026-04-05;LOT678321;3400555444777;Français;https://notice.medicaments.fr/diamicron_52.pdf;2024-01-28 15:10:00
53;Tritace 5mg;Tritace 5mg;Antihypertenseur;Ramipril;Comprimé;5mg;Hypertension;1 comprimé par jour;Sténose artère rénale;Toux fatigue;Surveillance tension;Interaction avec lithium;Conserver température ambiante;Sanofi;France;True;9.30;2026-08-20;LOT789432;3400444555888;Français;https://notice.medicaments.fr/tritace5_53.pdf;2024-02-05 10:45:00
54;Amoxicilline;Amoxicilline 500mg;Antibiotique;Amoxicilline;Gélule;500mg;Infections ORL urinaires cutanées;1 gélule 3 fois/jour 7 jours;Allergie pénicillines;Diarrhée nausées éruption;Prendre avec repas;Interaction avec allopurinol;Conserver température ambiante;Teva;France;True;3.90;2025-09-10;LOT890543;3400333666999;Français;https://notice.medicaments.fr/amoxicilline_54.pdf;2024-03-18 13:30:00
55;Paracétamol;Paracétamol 500mg;Analgésique;Paracétamol;Comprimé;500mg;Douleurs fièvre;1-2 comprimés max 4g/jour;Hépatopathie sévère;Rares réactions allergiques;Respecter doses;Interaction avec rifampicine;Conserver hors de portée;Biogaran;France;False;2.50;2026-09-25;LOT901654;3400222777000;Français;https://notice.medicaments.fr/paracetamol_55.pdf;2024-01-10 09:20:00
56;Ibuprofène;Ibuprofène 400mg;Anti-inflammatoire;Ibuprofène;Comprimé;400mg;Douleurs inflammatoires;1 comprimé 3 fois/jour;Insuffisance rénale;Nausées dyspepsie;Prendre avec nourriture;Interaction avec aspirine;Conserver température ambiante;Mylan;France;False;3.80;2026-02-28;LOT123765;3400111888111;Français;https://notice.medicaments.fr/ibuprofene_56.pdf;2024-02-28 14:50:00
57;Aspirine;Aspirine 500mg;Antipyrétique;Acide acétylsalicylique;Comprimé effervescent;500mg;Douleurs fièvre;1 comprimé max 3g/jour;Hémorragie digestive;Irritation gastrique;Diluer dans eau;Interaction avec anticoagulants;Conserver au sec;Bayer;Allemagne;False;4.20;2026-05-10;LOT234876;3400999222333;Français;https://notice.medicaments.fr/aspirine_57.pdf;2024-03-22 11:00:00
58;Smecta 3g;Smecta Menthe;Antidiarrhéique;Diosmectite;Sachet;3g;Diarrhée aiguë;3 sachets maximum/jour;Subocclusion;Constipation modérée;Diluer dans 50ml eau;Espace 2h autres médicaments;Conserver sec;Ipsen;France;False;5.10;2026-01-15;LOT345987;3400888333444;Français;https://notice.medicaments.fr/smecta2_58.pdf;2024-01-15 15:40:00
59;Ventoline 100;Ventoline Accuhaler;Bronchodilatateur;Salbutamol;Inhalateur poudre;100µg/dose;Crise asthme;1 inhalation selon besoin;Troubles rythme;Tremblements tachycardie;Ne pas dépasser 8/jour;Interaction avec bêtabloquants;Conserver sec;GSK;Royaume-Uni;True;9.50;2026-07-30;LOT456098;3400777444555;Anglais;https://notice.medicaments.fr/ventoline2_59.pdf;2024-02-10 12:15:00
60;Ketoprofène 100mg;Kétum;Anti-inflammatoire;Kétoprofène;Comprimé pelliculé;100mg;Rhumatismes;1 comprimé par jour;Ulcère gastrique;Douleurs épigastriques;Prudence âgé;Interaction avec diurétiques;Conserver lumière;Biogaran;France;True;6.40;2025-11-20;LOT567109;3400666555666;Français;https://notice.medicaments.fr/ketum_60.pdf;2024-03-05 09:30:00
61;Tahor 20mg;Tahor 20mg;Hypolipémiant;Atorvastatine;Comprimé;20mg;Hypercholestérolémie;1 comprimé soir;Maladie hépatique active;Myalgies fatigue;Surveillance CPK;Interaction avec fibrates;Conserver température ambiante;Pfizer;Irlande;True;15.30;2026-03-12;LOT678210;3400555666777;Français;https://notice.medicaments.fr/tahor2_61.pdf;2024-01-20 13:45:00
62;Kardegic 160mg;Kardegic 160mg;Antiagrégant;Aspirine;Comprimé gastro-résistant;160mg;Prévention AVC;1 comprimé par jour;Ulcère évolutif;Risque hémorragique;Prendre avec repas;Interaction avec AINS;Conserver sec;Sanofi;France;True;5.20;2025-12-18;LOT789321;3400444777888;Français;https://notice.medicaments.fr/kardegic160_62.pdf;2024-02-28 10:15:00
63;Xarelto 20mg;Xarelto 20mg;Anticoagulant;Rivaroxaban;Comprimé;20mg;Embolie pulmonaire;1 comprimé par jour;Hémorragie active;Saignements;Surveillance signes;Interaction avec AINS;Conserver température ambiante;Bayer;Allemagne;True;58.80;2026-02-10;LOT890432;3400333888999;Français/Anglais;https://notice.medicaments.fr/xarelto20_63.pdf;2024-03-15 16:20:00
64;Eliquis;Eliquis 5mg;Anticoagulant;Apixaban;Comprimé;5mg;Prévention AVC FA;1 comprimé 2 fois/jour;Insuffisance hépatique sévère;Hémorragie;Surveillance fonction hépatique;Interaction avec antifongiques;Conserver température ambiante;BMS;France;True;48.50;2026-01-25;LOT901543;3400222999000;Français;https://notice.medicaments.fr/eliquis_64.pdf;2024-01-25 11:30:00
65;Lovenox 60mg;Lovenox 60mg;Anticoagulant;Énoxaparine;Injection;60mg;Prévention post-opératoire;1 injection/jour;Allergie produit;Ecchymoses local;Rotation sites injection;Interaction avec antiagrégants;Conserver réfrigérateur;Sanofi;France;True;27.60;2025-10-05;LOT123654;3400111000222;Français;https://notice.medicaments.fr/lovenox60_65.pdf;2024-02-18 14:00:00
66;Euthyral 50mg;Euthyral 50mg;Hormone thyroïdienne;Lévothyroxine;Comprimé;50mg;Hypothyroïdie;1 comprimé/jour matin;Insuffisance surrénale;Palpitations nervosité;Surveillance TSH;Interaction avec fer;Conserver abri lumière;Merck;France;True;5.80;2026-08-01;LOT234765;3400999333444;Français;https://notice.medicaments.fr/euthyral50_66.pdf;2024-03-20 09:45:00
67;Metformine 1000mg;Metformine 1000mg;Antidiabétique;Metformine;Comprimé pelliculé;1000mg;Diabète type 2;1 comprimé 2 fois/jour;Insuffisance rénale;Troubles digestifs métallique;Surveillance fonction rénale;Interaction avec alcool;Conserver sec;Mylan;France;True;7.20;2026-03-18;LOT345876;3400888444555;Français;https://notice.medicaments.fr/metformine1000_67.pdf;2024-01-12 15:30:00
