date,medicine,quantity_sold
2023-06-29,Amoxicilline,22
2023-06-30,Amoxicilline,30
2023-07-01,Amoxicilline,24
2023-07-02,Amoxicilline,14
2023-07-03,Amoxicilline,30
2023-07-04,Amoxicilline,32
2023-07-05,Amoxicilline,33
2023-07-06,Amoxicilline,28
2023-07-07,Amoxicilline,35
2023-07-08,Amoxicilline,15
2023-07-09,Amoxicilline,15
2023-07-10,Amoxicilline,22
2023-07-11,Amoxicilline,27
2023-07-12,Amoxicilline,24
2023-07-13,Amoxicilline,25
2023-07-14,Amoxicilline,37
2023-07-15,Amoxicilline,21
2023-07-16,Amoxicilline,17
2023-07-17,Amoxicilline,25
2023-07-18,Amoxicilline,27
2023-07-19,Amoxicilline,27
2023-07-20,Amoxicilline,28
2023-07-21,Amoxicilline,34
2023-07-22,Amoxicilline,28
2023-07-23,Amoxicilline,17
2023-07-24,Amoxicilline,28
2023-07-25,Amoxicilline,22
2023-07-26,Amoxicilline,27
2023-07-27,Amoxicilline,30
2023-07-28,Amoxicilline,32
2023-07-29,Amoxicilline,23
2023-07-30,Amoxicilline,13
2023-07-31,Amoxicilline,28
2023-08-01,Amoxicilline,32
2023-08-02,Amoxicilline,28
2023-08-03,Amoxicilline,24
2023-08-04,Amoxicilline,30
2023-08-05,Amoxicilline,11
2023-08-06,Amoxicilline,17
2023-08-07,Amoxicilline,10
2023-08-08,Amoxicilline,19
2023-08-09,Amoxicilline,29
2023-08-10,Amoxicilline,28
2023-08-11,Amoxicilline,23
2023-08-12,Amoxicilline,19
2023-08-13,Amoxicilline,20
2023-08-14,Amoxicilline,17
2023-08-15,Amoxicilline,37
2023-08-16,Amoxicilline,27
2023-08-17,Amoxicilline,28
2023-08-18,Amoxicilline,36
2023-08-19,Amoxicilline,23
2023-08-20,Amoxicilline,9
2023-08-21,Amoxicilline,18
2023-08-22,Amoxicilline,27
2023-08-23,Amoxicilline,21
2023-08-24,Amoxicilline,25
2023-08-25,Amoxicilline,25
2023-08-26,Amoxicilline,26
2023-08-27,Amoxicilline,16
2023-08-28,Amoxicilline,25
2023-08-29,Amoxicilline,27
2023-08-30,Amoxicilline,28
2023-08-31,Amoxicilline,28
2023-09-01,Amoxicilline,29
2023-09-02,Amoxicilline,23
2023-09-03,Amoxicilline,24
2023-09-04,Amoxicilline,30
2023-09-05,Amoxicilline,26
2023-09-06,Amoxicilline,36
2023-09-07,Amoxicilline,35
2023-09-08,Amoxicilline,26
2023-09-09,Amoxicilline,29
2023-09-10,Amoxicilline,22
2023-09-11,Amoxicilline,34
2023-09-12,Amoxicilline,37
2023-09-13,Amoxicilline,26
2023-09-14,Amoxicilline,34
2023-09-15,Amoxicilline,34
2023-09-16,Amoxicilline,25
2023-09-17,Amoxicilline,23
2023-09-18,Amoxicilline,40
2023-09-19,Amoxicilline,44
2023-09-20,Amoxicilline,41
2023-09-21,Amoxicilline,32
2023-09-22,Amoxicilline,37
2023-09-23,Amoxicilline,31
2023-09-24,Amoxicilline,20
2023-09-25,Amoxicilline,33
2023-09-26,Amoxicilline,39
2023-09-27,Amoxicilline,34
2023-09-28,Amoxicilline,28
2023-09-29,Amoxicilline,33
2023-09-30,Amoxicilline,31
2023-10-01,Amoxicilline,20
2023-10-02,Amoxicilline,34
2023-10-03,Amoxicilline,38
2023-10-04,Amoxicilline,32
2023-10-05,Amoxicilline,36
2023-10-06,Amoxicilline,38
2023-10-07,Amoxicilline,22
2023-10-08,Amoxicilline,25
2023-10-09,Amoxicilline,30
2023-10-10,Amoxicilline,25
2023-10-11,Amoxicilline,28
2023-10-12,Amoxicilline,27
2023-10-13,Amoxicilline,36
2023-10-14,Amoxicilline,27
2023-10-15,Amoxicilline,19
2023-10-16,Amoxicilline,36
2023-10-17,Amoxicilline,36
2023-10-18,Amoxicilline,36
2023-10-19,Amoxicilline,35
2023-10-20,Amoxicilline,39
2023-10-21,Amoxicilline,18
2023-10-22,Amoxicilline,19
2023-10-23,Amoxicilline,21
2023-10-24,Amoxicilline,34
2023-10-25,Amoxicilline,34
2023-10-26,Amoxicilline,38
2023-10-27,Amoxicilline,43
2023-10-28,Amoxicilline,29
2023-10-29,Amoxicilline,18
2023-10-30,Amoxicilline,35
2023-10-31,Amoxicilline,31
2023-11-01,Amoxicilline,34
2023-11-02,Amoxicilline,38
2023-11-03,Amoxicilline,32
2023-11-04,Amoxicilline,32
2023-11-05,Amoxicilline,22
2023-11-06,Amoxicilline,19
2023-11-07,Amoxicilline,40
2023-11-08,Amoxicilline,38
2023-11-09,Amoxicilline,33
2023-11-10,Amoxicilline,31
2023-11-11,Amoxicilline,24
2023-11-12,Amoxicilline,18
2023-11-13,Amoxicilline,35
2023-11-14,Amoxicilline,29
2023-11-15,Amoxicilline,37
2023-11-16,Amoxicilline,26
2023-11-17,Amoxicilline,34
2023-11-18,Amoxicilline,20
2023-11-19,Amoxicilline,28
2023-11-20,Amoxicilline,25
2023-11-21,Amoxicilline,42
2023-11-22,Amoxicilline,35
2023-11-23,Amoxicilline,35
2023-11-24,Amoxicilline,36
2023-11-25,Amoxicilline,30
2023-11-26,Amoxicilline,20
2023-11-27,Amoxicilline,40
2023-11-28,Amoxicilline,31
2023-11-29,Amoxicilline,41
2023-11-30,Amoxicilline,29
2023-12-01,Amoxicilline,53
2023-12-02,Amoxicilline,34
2023-12-03,Amoxicilline,33
2023-12-04,Amoxicilline,61
2023-12-05,Amoxicilline,51
2023-12-06,Amoxicilline,49
2023-12-07,Amoxicilline,40
2023-12-08,Amoxicilline,51
2023-12-09,Amoxicilline,31
2023-12-10,Amoxicilline,26
2023-12-11,Amoxicilline,51
2023-12-12,Amoxicilline,62
2023-12-13,Amoxicilline,75
2023-12-14,Amoxicilline,44
2023-12-15,Amoxicilline,66
2023-12-16,Amoxicilline,44
2023-12-17,Amoxicilline,30
2023-12-18,Amoxicilline,52
2023-12-19,Amoxicilline,52
2023-12-20,Amoxicilline,52
2023-12-21,Amoxicilline,46
2023-12-22,Amoxicilline,41
2023-12-23,Amoxicilline,31
2023-12-24,Amoxicilline,34
2023-12-25,Amoxicilline,47
2023-12-26,Amoxicilline,46
2023-12-27,Amoxicilline,51
2023-12-28,Amoxicilline,55
2023-12-29,Amoxicilline,55
2023-12-30,Amoxicilline,37
2023-12-31,Amoxicilline,37
2024-01-01,Amoxicilline,43
2024-01-02,Amoxicilline,56
2024-01-03,Amoxicilline,60
2024-01-04,Amoxicilline,59
2024-01-05,Amoxicilline,64
2024-01-06,Amoxicilline,46
2024-01-07,Amoxicilline,33
2024-01-08,Amoxicilline,53
2024-01-09,Amoxicilline,42
2024-01-10,Amoxicilline,57
2024-01-11,Amoxicilline,27
2024-01-12,Amoxicilline,47
2024-01-13,Amoxicilline,51
2024-01-14,Amoxicilline,35
2024-01-15,Amoxicilline,61
2024-01-16,Amoxicilline,49
2024-01-17,Amoxicilline,42
2024-01-18,Amoxicilline,47
2024-01-19,Amoxicilline,55
2024-01-20,Amoxicilline,43
2024-01-21,Amoxicilline,36
2024-01-22,Amoxicilline,46
2024-01-23,Amoxicilline,54
2024-01-24,Amoxicilline,43
2024-01-25,Amoxicilline,53
2024-01-26,Amoxicilline,54
2024-01-27,Amoxicilline,37
2024-01-28,Amoxicilline,29
2024-01-29,Amoxicilline,48
2024-01-30,Amoxicilline,49
2024-01-31,Amoxicilline,67
2024-02-01,Amoxicilline,48
2024-02-02,Amoxicilline,52
2024-02-03,Amoxicilline,27
2024-02-04,Amoxicilline,26
2024-02-05,Amoxicilline,47
2024-02-06,Amoxicilline,46
2024-02-07,Amoxicilline,63
2024-02-08,Amoxicilline,48
2024-02-09,Amoxicilline,65
2024-02-10,Amoxicilline,43
2024-02-11,Amoxicilline,31
2024-02-12,Amoxicilline,48
2024-02-13,Amoxicilline,52
2024-02-14,Amoxicilline,66
2024-02-15,Amoxicilline,30
2024-02-16,Amoxicilline,36
2024-02-17,Amoxicilline,38
2024-02-18,Amoxicilline,31
2024-02-19,Amoxicilline,55
2024-02-20,Amoxicilline,56
2024-02-21,Amoxicilline,48
2024-02-22,Amoxicilline,58
2024-02-23,Amoxicilline,63
2024-02-24,Amoxicilline,43
2024-02-25,Amoxicilline,35
2024-02-26,Amoxicilline,51
2024-02-27,Amoxicilline,47
2024-02-28,Amoxicilline,58
2024-02-29,Amoxicilline,50
2024-03-01,Amoxicilline,40
2024-03-02,Amoxicilline,39
2024-03-03,Amoxicilline,13
2024-03-04,Amoxicilline,28
2024-03-05,Amoxicilline,30
2024-03-06,Amoxicilline,36
2024-03-07,Amoxicilline,35
2024-03-08,Amoxicilline,30
2024-03-09,Amoxicilline,26
2024-03-10,Amoxicilline,19
2024-03-11,Amoxicilline,51
2024-03-12,Amoxicilline,49
2024-03-13,Amoxicilline,35
2024-03-14,Amoxicilline,34
2024-03-15,Amoxicilline,32
2024-03-16,Amoxicilline,21
2024-03-17,Amoxicilline,22
2024-03-18,Amoxicilline,30
2024-03-19,Amoxicilline,37
2024-03-20,Amoxicilline,28
2024-03-21,Amoxicilline,32
2024-03-22,Amoxicilline,41
2024-03-23,Amoxicilline,33
2024-03-24,Amoxicilline,24
2024-03-25,Amoxicilline,28
2024-03-26,Amoxicilline,43
2024-03-27,Amoxicilline,33
2024-03-28,Amoxicilline,40
2024-03-29,Amoxicilline,40
2024-03-30,Amoxicilline,24
2024-03-31,Amoxicilline,21
2024-04-01,Amoxicilline,38
2024-04-02,Amoxicilline,42
2024-04-03,Amoxicilline,37
2024-04-04,Amoxicilline,45
2024-04-05,Amoxicilline,46
2024-04-06,Amoxicilline,30
2024-04-07,Amoxicilline,25
2024-04-08,Amoxicilline,48
2024-04-09,Amoxicilline,50
2024-04-10,Amoxicilline,30
2024-04-11,Amoxicilline,31
2024-04-12,Amoxicilline,50
2024-04-13,Amoxicilline,26
2024-04-14,Amoxicilline,18
2024-04-15,Amoxicilline,33
2024-04-16,Amoxicilline,41
2024-04-17,Amoxicilline,37
2024-04-18,Amoxicilline,32
2024-04-19,Amoxicilline,35
2024-04-20,Amoxicilline,27
2024-04-21,Amoxicilline,19
2024-04-22,Amoxicilline,50
2024-04-23,Amoxicilline,40
2024-04-24,Amoxicilline,44
2024-04-25,Amoxicilline,33
2024-04-26,Amoxicilline,39
2024-04-27,Amoxicilline,27
2024-04-28,Amoxicilline,13
2024-04-29,Amoxicilline,28
2024-04-30,Amoxicilline,27
2024-05-01,Amoxicilline,17
2024-05-02,Amoxicilline,29
2024-05-03,Amoxicilline,49
2024-05-04,Amoxicilline,31
2024-05-05,Amoxicilline,27
2024-05-06,Amoxicilline,39
2024-05-07,Amoxicilline,43
2024-05-08,Amoxicilline,32
2024-05-09,Amoxicilline,40
2024-05-10,Amoxicilline,45
2024-05-11,Amoxicilline,28
2024-05-12,Amoxicilline,25
2024-05-13,Amoxicilline,40
2024-05-14,Amoxicilline,35
2024-05-15,Amoxicilline,31
2024-05-16,Amoxicilline,29
2024-05-17,Amoxicilline,40
2024-05-18,Amoxicilline,33
2024-05-19,Amoxicilline,20
2024-05-20,Amoxicilline,37
2024-05-21,Amoxicilline,42
2024-05-22,Amoxicilline,42
2024-05-23,Amoxicilline,46
2024-05-24,Amoxicilline,48
2024-05-25,Amoxicilline,26
2024-05-26,Amoxicilline,29
2024-05-27,Amoxicilline,33
2024-05-28,Amoxicilline,45
2024-05-29,Amoxicilline,39
2024-05-30,Amoxicilline,34
2024-05-31,Amoxicilline,28
2024-06-01,Amoxicilline,22
2024-06-02,Amoxicilline,12
2024-06-03,Amoxicilline,31
2024-06-04,Amoxicilline,35
2024-06-05,Amoxicilline,24
2024-06-06,Amoxicilline,28
2024-06-07,Amoxicilline,26
2024-06-08,Amoxicilline,20
2024-06-09,Amoxicilline,19
2024-06-10,Amoxicilline,26
2024-06-11,Amoxicilline,36
2024-06-12,Amoxicilline,26
2024-06-13,Amoxicilline,31
2024-06-14,Amoxicilline,30
2024-06-15,Amoxicilline,26
2024-06-16,Amoxicilline,15
2024-06-17,Amoxicilline,26
2024-06-18,Amoxicilline,27
2024-06-19,Amoxicilline,24
2024-06-20,Amoxicilline,29
2024-06-21,Amoxicilline,32
2024-06-22,Amoxicilline,25
2024-06-23,Amoxicilline,21
2024-06-24,Amoxicilline,33
2024-06-25,Amoxicilline,26
2024-06-26,Amoxicilline,30
2024-06-27,Amoxicilline,24
2024-06-28,Amoxicilline,29
2024-06-29,Amoxicilline,21
2024-06-30,Amoxicilline,21
2024-07-01,Amoxicilline,28
2024-07-02,Amoxicilline,27
2024-07-03,Amoxicilline,33
2024-07-04,Amoxicilline,17
2024-07-05,Amoxicilline,19
2024-07-06,Amoxicilline,26
2024-07-07,Amoxicilline,17
2024-07-08,Amoxicilline,28
2024-07-09,Amoxicilline,22
2024-07-10,Amoxicilline,28
2024-07-11,Amoxicilline,35
2024-07-12,Amoxicilline,33
2024-07-13,Amoxicilline,23
2024-07-14,Amoxicilline,15
2024-07-15,Amoxicilline,25
2024-07-16,Amoxicilline,18
2024-07-17,Amoxicilline,29
2024-07-18,Amoxicilline,30
2024-07-19,Amoxicilline,22
2024-07-20,Amoxicilline,20
2024-07-21,Amoxicilline,13
2024-07-22,Amoxicilline,22
2024-07-23,Amoxicilline,28
2024-07-24,Amoxicilline,18
2024-07-25,Amoxicilline,29
2024-07-26,Amoxicilline,33
2024-07-27,Amoxicilline,22
2024-07-28,Amoxicilline,10
2024-07-29,Amoxicilline,22
2024-07-30,Amoxicilline,24
2024-07-31,Amoxicilline,15
2024-08-01,Amoxicilline,25
2024-08-02,Amoxicilline,23
2024-08-03,Amoxicilline,26
2024-08-04,Amoxicilline,15
2024-08-05,Amoxicilline,28
2024-08-06,Amoxicilline,31
2024-08-07,Amoxicilline,36
2024-08-08,Amoxicilline,26
2024-08-09,Amoxicilline,31
2024-08-10,Amoxicilline,17
2024-08-11,Amoxicilline,20
2024-08-12,Amoxicilline,23
2024-08-13,Amoxicilline,25
2024-08-14,Amoxicilline,19
2024-08-15,Amoxicilline,20
2024-08-16,Amoxicilline,30
2024-08-17,Amoxicilline,27
2024-08-18,Amoxicilline,17
2024-08-19,Amoxicilline,20
2024-08-20,Amoxicilline,19
2024-08-21,Amoxicilline,22
2024-08-22,Amoxicilline,18
2024-08-23,Amoxicilline,24
2024-08-24,Amoxicilline,26
2024-08-25,Amoxicilline,17
2024-08-26,Amoxicilline,29
2024-08-27,Amoxicilline,37
2024-08-28,Amoxicilline,30
2024-08-29,Amoxicilline,30
2024-08-30,Amoxicilline,43
2024-08-31,Amoxicilline,22
2024-09-01,Amoxicilline,18
2024-09-02,Amoxicilline,36
2024-09-03,Amoxicilline,38
2024-09-04,Amoxicilline,32
2024-09-05,Amoxicilline,28
2024-09-06,Amoxicilline,51
2024-09-07,Amoxicilline,30
2024-09-08,Amoxicilline,18
2024-09-09,Amoxicilline,39
2024-09-10,Amoxicilline,34
2024-09-11,Amoxicilline,34
2024-09-12,Amoxicilline,37
2024-09-13,Amoxicilline,29
2024-09-14,Amoxicilline,30
2024-09-15,Amoxicilline,27
2024-09-16,Amoxicilline,36
2024-09-17,Amoxicilline,33
2024-09-18,Amoxicilline,32
2024-09-19,Amoxicilline,31
2024-09-20,Amoxicilline,35
2024-09-21,Amoxicilline,27
2024-09-22,Amoxicilline,24
2024-09-23,Amoxicilline,24
2024-09-24,Amoxicilline,40
2024-09-25,Amoxicilline,33
2024-09-26,Amoxicilline,36
2024-09-27,Amoxicilline,30
2024-09-28,Amoxicilline,35
2024-09-29,Amoxicilline,25
2024-09-30,Amoxicilline,39
2024-10-01,Amoxicilline,26
2024-10-02,Amoxicilline,40
2024-10-03,Amoxicilline,36
2024-10-04,Amoxicilline,27
2024-10-05,Amoxicilline,29
2024-10-06,Amoxicilline,22
2024-10-07,Amoxicilline,37
2024-10-08,Amoxicilline,36
2024-10-09,Amoxicilline,37
2024-10-10,Amoxicilline,42
2024-10-11,Amoxicilline,44
2024-10-12,Amoxicilline,15
2024-10-13,Amoxicilline,20
2024-10-14,Amoxicilline,33
2024-10-15,Amoxicilline,25
2024-10-16,Amoxicilline,36
2024-10-17,Amoxicilline,41
2024-10-18,Amoxicilline,30
2024-10-19,Amoxicilline,30
2024-10-20,Amoxicilline,18
2024-10-21,Amoxicilline,30
2024-10-22,Amoxicilline,44
2024-10-23,Amoxicilline,32
2024-10-24,Amoxicilline,36
2024-10-25,Amoxicilline,25
2024-10-26,Amoxicilline,38
2024-10-27,Amoxicilline,23
2024-10-28,Amoxicilline,33
2024-10-29,Amoxicilline,39
2024-10-30,Amoxicilline,27
2024-10-31,Amoxicilline,40
2024-11-01,Amoxicilline,35
2024-11-02,Amoxicilline,28
2024-11-03,Amoxicilline,19
2024-11-04,Amoxicilline,30
2024-11-05,Amoxicilline,39
2024-11-06,Amoxicilline,26
2024-11-07,Amoxicilline,37
2024-11-08,Amoxicilline,37
2024-11-09,Amoxicilline,31
2024-11-10,Amoxicilline,19
2024-11-11,Amoxicilline,46
2024-11-12,Amoxicilline,26
2024-11-13,Amoxicilline,43
2024-11-14,Amoxicilline,41
2024-11-15,Amoxicilline,32
2024-11-16,Amoxicilline,40
2024-11-17,Amoxicilline,24
2024-11-18,Amoxicilline,27
2024-11-19,Amoxicilline,35
2024-11-20,Amoxicilline,34
2024-11-21,Amoxicilline,32
2024-11-22,Amoxicilline,39
2024-11-23,Amoxicilline,36
2024-11-24,Amoxicilline,21
2024-11-25,Amoxicilline,29
2024-11-26,Amoxicilline,40
2024-11-27,Amoxicilline,41
2024-11-28,Amoxicilline,37
2024-11-29,Amoxicilline,41
2024-11-30,Amoxicilline,28
2024-12-01,Amoxicilline,26
2024-12-02,Amoxicilline,43
2024-12-03,Amoxicilline,39
2024-12-04,Amoxicilline,55
2024-12-05,Amoxicilline,50
2024-12-06,Amoxicilline,51
2024-12-07,Amoxicilline,22
2024-12-08,Amoxicilline,25
2024-12-09,Amoxicilline,60
2024-12-10,Amoxicilline,47
2024-12-11,Amoxicilline,56
2024-12-12,Amoxicilline,39
2024-12-13,Amoxicilline,69
2024-12-14,Amoxicilline,42
2024-12-15,Amoxicilline,33
2024-12-16,Amoxicilline,70
2024-12-17,Amoxicilline,66
2024-12-18,Amoxicilline,50
2024-12-19,Amoxicilline,46
2024-12-20,Amoxicilline,52
2024-12-21,Amoxicilline,47
2024-12-22,Amoxicilline,31
2024-12-23,Amoxicilline,47
2024-12-24,Amoxicilline,66
2024-12-25,Amoxicilline,52
2024-12-26,Amoxicilline,70
2024-12-27,Amoxicilline,56
2024-12-28,Amoxicilline,56
2024-12-29,Amoxicilline,33
2024-12-30,Amoxicilline,59
2024-12-31,Amoxicilline,47
2023-01-01,Doliprane_Sirop,12
2023-01-02,Doliprane_Sirop,33
2023-01-03,Doliprane_Sirop,23
2023-01-04,Doliprane_Sirop,40
2023-01-05,Doliprane_Sirop,31
2023-01-06,Doliprane_Sirop,40
2023-01-07,Doliprane_Sirop,21
2023-01-08,Doliprane_Sirop,16
2023-01-09,Doliprane_Sirop,24
2023-01-10,Doliprane_Sirop,33
2023-01-11,Doliprane_Sirop,22
2023-01-12,Doliprane_Sirop,28
2023-01-13,Doliprane_Sirop,28
2023-01-14,Doliprane_Sirop,20
2023-01-15,Doliprane_Sirop,19
2023-01-16,Doliprane_Sirop,28
2023-01-17,Doliprane_Sirop,28
2023-01-18,Doliprane_Sirop,40
2023-01-19,Doliprane_Sirop,30
2023-01-20,Doliprane_Sirop,40
2023-01-21,Doliprane_Sirop,24
2023-01-22,Doliprane_Sirop,20
2023-01-23,Doliprane_Sirop,30
2023-01-24,Doliprane_Sirop,23
2023-01-25,Doliprane_Sirop,39
2023-01-26,Doliprane_Sirop,30
2023-01-27,Doliprane_Sirop,37
2023-01-28,Doliprane_Sirop,23
2023-01-29,Doliprane_Sirop,18
2023-01-30,Doliprane_Sirop,26
2023-01-31,Doliprane_Sirop,38
2023-02-01,Doliprane_Sirop,33
2023-02-02,Doliprane_Sirop,32
2023-02-03,Doliprane_Sirop,41
2023-02-04,Doliprane_Sirop,31
2023-02-05,Doliprane_Sirop,21
2023-02-06,Doliprane_Sirop,23
2023-02-07,Doliprane_Sirop,28
2023-02-08,Doliprane_Sirop,26
2023-02-09,Doliprane_Sirop,34
2023-02-10,Doliprane_Sirop,34
2023-02-11,Doliprane_Sirop,20
2023-02-12,Doliprane_Sirop,18
2023-02-13,Doliprane_Sirop,23
2023-02-14,Doliprane_Sirop,32
2023-02-15,Doliprane_Sirop,23
2023-02-16,Doliprane_Sirop,33
2023-02-17,Doliprane_Sirop,35
2023-02-18,Doliprane_Sirop,34
2023-02-19,Doliprane_Sirop,21
2023-02-20,Doliprane_Sirop,28
2023-02-21,Doliprane_Sirop,36
2023-02-22,Doliprane_Sirop,24
2023-02-23,Doliprane_Sirop,26
2023-02-24,Doliprane_Sirop,35
2023-02-25,Doliprane_Sirop,17
2023-02-26,Doliprane_Sirop,19
2023-02-27,Doliprane_Sirop,25
2023-02-28,Doliprane_Sirop,32
2023-03-01,Doliprane_Sirop,18
2023-03-02,Doliprane_Sirop,22
2023-03-03,Doliprane_Sirop,23
2023-03-04,Doliprane_Sirop,22
2023-03-05,Doliprane_Sirop,13
2023-03-06,Doliprane_Sirop,18
2023-03-07,Doliprane_Sirop,21
2023-03-08,Doliprane_Sirop,17
2023-03-09,Doliprane_Sirop,22
2023-03-10,Doliprane_Sirop,25
2023-03-11,Doliprane_Sirop,25
2023-03-12,Doliprane_Sirop,12
2023-03-13,Doliprane_Sirop,20
2023-03-14,Doliprane_Sirop,20
2023-03-15,Doliprane_Sirop,23
2023-03-16,Doliprane_Sirop,22
2023-03-17,Doliprane_Sirop,23
2023-03-18,Doliprane_Sirop,21
